Area_sqft,Bedrooms,Bathrooms,Age_Years,Distance_City_km,Price_Lakhs
2546,2,2,13,22.2,233.31
3542,6,5,12,6.5,383.15
622,1,1,7,4.8,70.58
2721,4,3,17,6.6,284.04
2469,3,3,21,13.5,240.34
1899,3,3,26,22.7,177.34
1251,2,2,8,18.9,127.36
1735,3,2,8,11.3,181.71
1560,2,2,10,22.4,136.33
1217,1,1,22,4.2,100.67
2299,4,4,17,11.9,231.63
2320,4,3,27,22.1,225.64
2553,2,2,9,19.0,244.14
2316,3,3,7,7.2,237.91
2192,3,3,23,4.5,218.68
1122,1,1,18,14.3,83.71
3232,5,4,27,11.8,317.43
2152,3,2,14,8.5,218.55
2152,3,3,8,21.0,212.59
3668,4,4,7,16.4,372.06
3269,3,2,30,6.6,312.37
3144,4,3,4,12.1,311.38
1492,3,3,24,9.5,154.35
3663,4,3,30,8.1,354.57
1877,3,3,30,18.0,168.85
3428,4,3,22,19.4,335.75
3059,3,2,11,13.6,296.42
882,1,1,27,10.8,68.42
2375,3,3,22,4.2,230.13
2737,3,3,14,11.2,273.71
1699,2,1,26,23.4,137.51
2446,3,3,18,15.5,235.07
717,2,2,5,12.4,75.95
1658,2,2,28,15.1,155.45
2876,3,2,2,6.4,285.29
2874,4,4,20,17.9,285.09
670,1,1,7,10.4,56.69
3319,4,4,17,13.5,329.57
3655,5,5,22,11.6,368.76
1544,1,1,10,3.4,144.3
3721,5,4,6,18.6,373.8
3014,4,3,26,5.3,293.5
1334,1,1,22,13.6,105.83
823,1,1,20,21.8,59.63
650,1,1,15,11.3,48.28
810,1,1,3,20.6,67.69
903,1,1,4,20.4,86.57
948,1,1,17,19.2,76.81
3838,5,5,14,22.8,382.01
3010,5,5,18,15.7,316.3
3631,4,3,20,5.7,361.01
1243,1,1,17,2.3,103.11
2445,4,4,1,6.2,271.25
3479,5,4,21,6.2,351.46
3840,5,5,3,13.8,402.09
1688,2,1,1,4.6,165.25
3667,5,5,3,12.0,380.91
2248,3,3,14,2.5,221.97
2369,3,3,0,2.7,259.56
2956,3,3,18,1.5,298.32
2527,4,4,5,24.9,257.72
3935,6,5,15,9.0,408.52
3344,3,2,10,10.6,321.45
3313,5,4,14,2.7,342.93
1074,2,1,21,21.8,89.04
822,1,1,19,19.0,64.79
3712,4,3,8,14.0,375.03
2394,4,3,0,24.3,247.63
1580,2,2,17,0.8,155.6
1520,1,1,30,3.4,136.06
2641,3,3,13,21.0,263.79
1598,3,2,12,5.2,168.97
3656,5,4,8,19.4,377.75
1992,2,1,9,18.3,188.82
2975,5,4,14,13.7,306.66
2860,5,5,29,8.4,292.89
3456,4,4,7,21.5,342.01
1903,3,3,12,24.7,191.63
3270,4,4,30,1.4,327.37
3017,4,3,27,21.2,279.48
2471,2,1,13,21.8,229.73
906,2,2,10,15.8,88.43
928,1,1,30,8.3,77.08
3710,6,5,19,2.2,396.58
1777,2,1,13,24.5,161.19
3483,3,3,5,17.5,345.29
788,1,1,9,9.3,70.62
1600,3,2,5,4.8,173.83
2166,3,3,29,14.8,200.82
3212,4,4,8,16.8,332.5
2505,3,2,2,11.3,247.25
3006,4,4,22,6.6,311.63
1415,3,3,3,6.3,161.58
2954,4,4,0,24.5,303.87
1724,1,1,29,15.4,139.91
1772,2,2,7,16.1,172.43
3376,4,3,28,15.9,313.7
3830,6,5,18,9.4,392.95
1808,2,2,5,5.4,187.67
2098,2,1,8,22.9,197.87
3903,5,5,25,3.3,408.22
1176,1,1,30,21.2,87.15
969,2,1,8,13.6,92.99
3355,4,4,26,16.1,324.51
3364,4,4,0,15.7,352.63
1943,2,1,20,20.7,177.57
1837,3,2,4,1.6,186.55
2617,2,1,7,22.2,229.5
2458,3,3,18,18.7,229.42
2299,2,2,19,10.5,223.19
734,1,1,14,11.4,57.4
2085,1,1,17,22.6,177.53
848,2,2,6,24.2,90.76
3975,6,5,21,5.7,416.95
687,1,1,7,24.7,59.08
1440,1,1,18,5.8,135.13
1945,2,1,8,21.5,169.09
1132,1,1,3,16.7,91.91
660,1,1,18,8.4,49.2
814,1,1,16,3.3,65.62
2436,3,2,14,12.8,244.79
777,1,1,20,24.1,45.28
2561,4,4,21,3.1,271.97
2416,2,1,10,15.4,212.97
1726,2,2,19,13.5,159.56
3079,5,4,25,17.7,316.78
3266,4,4,14,22.3,320.21
3989,6,5,13,18.4,407.58
1880,2,2,30,4.2,182.72
874,1,1,2,11.1,87.58
2126,3,2,18,23.9,199.04
3344,3,3,11,21.9,326.85
2332,2,2,19,8.2,210.81
2678,3,2,21,12.3,260.76
2034,2,1,24,7.3,179.07
2357,2,2,0,4.9,238.75
1865,2,2,0,4.9,183.29
3292,5,4,4,18.7,350.23
975,1,1,13,11.6,77.98
1876,2,1,28,1.8,164.93
3130,3,2,8,11.4,301.4
3086,5,5,8,5.8,334.13
2013,3,2,9,17.1,199.66
2758,3,2,7,10.2,272.87
631,1,1,30,5.7,40.54
1646,2,2,3,0.7,176.79
1319,1,1,17,17.7,109.13
3336,4,3,12,21.6,315.77
676,1,1,27,8.2,50.49
2256,4,4,3,10.4,255.28
1303,2,2,2,11.2,126.35
2384,4,3,12,21.8,244.02
1507,2,1,2,13.0,138.61
2688,3,3,11,18.3,267.89
3938,5,4,3,4.1,403.7
3067,4,3,5,23.8,305.93
2500,4,4,27,24.3,240.11
2401,2,2,14,16.0,228.42
3022,3,3,16,2.3,299.0
754,1,1,26,7.5,62.9
969,2,2,18,14.1,98.38
768,2,1,10,15.3,73.44
853,2,1,25,22.5,63.89
3525,4,3,1,6.6,357.79
2399,3,3,11,23.0,229.96
3772,5,4,25,16.0,369.97
1950,1,1,9,6.7,185.44
3068,4,4,2,14.8,309.39
2032,2,2,4,15.1,204.67
1868,3,3,26,3.6,193.06
3626,4,4,16,9.4,359.41
1338,1,1,30,19.3,95.75
1163,1,1,9,21.2,89.45
3757,4,4,28,19.3,352.44
2143,3,2,5,20.9,214.66
3913,5,5,1,10.6,412.68
1572,3,3,24,18.8,151.9
2787,3,3,30,20.3,257.0
1394,1,1,14,19.4,122.04
2659,4,3,26,5.4,269.02
1624,1,1,27,9.6,144.93
3513,4,4,2,19.2,348.99
2702,3,3,2,23.7,258.83
2447,3,2,13,1.8,245.21
1565,3,2,11,6.0,160.42
1005,1,1,4,1.4,108.42
2535,3,3,14,15.6,255.95
677,1,1,26,4.2,64.19
3093,5,4,24,7.6,314.67
795,1,1,20,20.0,57.69
1054,2,1,20,13.1,89.53
1188,1,1,0,15.6,103.81
2306,3,2,16,24.4,206.21
2754,2,2,27,12.0,251.97
2129,3,2,11,19.8,202.05
3602,4,4,4,1.6,373.58
3932,5,5,22,12.2,390.79
1152,1,1,1,7.7,101.57
1417,1,1,29,8.1,115.42
3939,6,5,1,19.0,407.43
2062,1,1,8,3.5,188.69
2238,4,4,10,24.4,230.26
2637,3,3,25,2.5,258.07
2363,3,3,10,3.0,240.13
1810,2,2,19,18.1,158.16
2418,3,3,1,18.3,251.44
3118,5,5,20,24.5,325.43
907,2,2,16,20.1,87.55
727,1,1,1,3.6,70.03
3242,4,4,12,23.8,310.57
1228,2,2,11,11.4,113.48
1163,1,1,10,16.4,95.18
1064,1,1,15,13.2,98.79
1082,1,1,22,11.4,99.13
1769,3,2,3,3.8,180.23
1307,2,1,25,17.2,118.5
1909,2,1,17,13.8,180.78
1245,1,1,16,6.0,120.95
3844,5,4,25,12.6,379.36
